kind	class	method	param	index	uri
PARAMETER	sg.edu.nus.cs5344.spring14.twitter.KeyValueFormatter	format(K,V)	key	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlead5353366_Zeldon_BigData_Class_tgz-pJ8-LocalTestsJ8/src/sg/edu/nus/cs5344/spring14/twitter/KeyValueFormatter.java
PARAMETER	sg.edu.nus.cs5344.spring14.twitter.KeyValueFormatter	format(K,V)	value	1	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlead5353366_Zeldon_BigData_Class_tgz-pJ8-LocalTestsJ8/src/sg/edu/nus/cs5344/spring14/twitter/KeyValueFormatter.java
FIELD	sg.edu.nus.cs5344.spring14.twitter.Jobs.JobAParseText$MapperImpl	null	lineBuffer	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlead5353366_Zeldon_BigData_Class_tgz-pJ8-LocalTestsJ8/src/sg/edu/nus/cs5344/spring14/twitter/Jobs/JobAParseText.java
FIELD	sg.edu.nus.cs5344.spring14.twitter.CmdArguments	null	instance	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlead5353366_Zeldon_BigData_Class_tgz-pJ8-LocalTestsJ8/src/sg/edu/nus/cs5344/spring14/twitter/CmdArguments.java
METHOD	sg.edu.nus.cs5344.spring14.twitter.CmdArguments	getArgs()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlead5353366_Zeldon_BigData_Class_tgz-pJ8-LocalTestsJ8/src/sg/edu/nus/cs5344/spring14/twitter/CmdArguments.java
METHOD	sg.edu.nus.cs5344.spring14.twitter.CmdArguments	instantiate(java.lang.String[])	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlead5353366_Zeldon_BigData_Class_tgz-pJ8-LocalTestsJ8/src/sg/edu/nus/cs5344/spring14/twitter/CmdArguments.java
METHOD	com.beust.jcommander.FuzzyMap	findInMap(java.util.Map,com.beust.jcommander.FuzzyMap.IKey,boolean,boolean)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlead5353366_Zeldon_BigData_Class_tgz-pJ8-LocalTestsJ8/src/com/beust/jcommander/FuzzyMap.java
FIELD	com.beust.jcommander.JCommander	null	m_descriptions	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlead5353366_Zeldon_BigData_Class_tgz-pJ8-LocalTestsJ8/src/com/beust/jcommander/JCommander.java
FIELD	com.beust.jcommander.JCommander	null	m_mainParameter	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlead5353366_Zeldon_BigData_Class_tgz-pJ8-LocalTestsJ8/src/com/beust/jcommander/JCommander.java
FIELD	com.beust.jcommander.JCommander	null	m_mainParameterAnnotation	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlead5353366_Zeldon_BigData_Class_tgz-pJ8-LocalTestsJ8/src/com/beust/jcommander/JCommander.java
FIELD	com.beust.jcommander.JCommander	null	m_mainParameterDescription	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlead5353366_Zeldon_BigData_Class_tgz-pJ8-LocalTestsJ8/src/com/beust/jcommander/JCommander.java
FIELD	com.beust.jcommander.JCommander	null	m_defaultProvider	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlead5353366_Zeldon_BigData_Class_tgz-pJ8-LocalTestsJ8/src/com/beust/jcommander/JCommander.java
FIELD	com.beust.jcommander.JCommander	null	m_programName	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlead5353366_Zeldon_BigData_Class_tgz-pJ8-LocalTestsJ8/src/com/beust/jcommander/JCommander.java
FIELD	com.beust.jcommander.JCommander	null	m_console	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlead5353366_Zeldon_BigData_Class_tgz-pJ8-LocalTestsJ8/src/com/beust/jcommander/JCommander.java
PARAMETER	com.beust.jcommander.JCommander	JCommander(java.lang.Object,java.util.ResourceBundle)	bundle	1	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlead5353366_Zeldon_BigData_Class_tgz-pJ8-LocalTestsJ8/src/com/beust/jcommander/JCommander.java
METHOD	com.beust.jcommander.JCommander	getPrefixDescriptionFor(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlead5353366_Zeldon_BigData_Class_tgz-pJ8-LocalTestsJ8/src/com/beust/jcommander/JCommander.java
