kind	class	method	param	index	uri
FIELD	Carousel	null	socket	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8/src/Carousel.java
FIELD	Carousel	null	playerID	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8/src/Carousel.java
FIELD	Carousel	null	messageID	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8/src/Carousel.java
FIELD	Carousel	null	response	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8/src/Carousel.java
PARAMETER	Carousel	Carousel(com.github.nkzawa.socketio.client.Socket,java.lang.String,java.lang.String)	socket	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8/src/Carousel.java
PARAMETER	Carousel	Carousel(com.github.nkzawa.socketio.client.Socket,java.lang.String,java.lang.String)	playerID	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8/src/Carousel.java
PARAMETER	Carousel	Carousel(com.github.nkzawa.socketio.client.Socket,java.lang.String,java.lang.String)	messageID	2	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8/src/Carousel.java
METHOD	Carousel	makeResponse()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8/src/Carousel.java
METHOD	Carousel	randInt()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8/src/Carousel.java
METHOD	Carousel	run()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8/src/Carousel.java
FIELD	com.github.nkzawa.socketio.client.Socket	null	logger	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8/src/com/github/nkzawa/socketio/client/Socket.java
FIELD	com.github.nkzawa.socketio.client.Socket	null	EVENT_CONNECT	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8/src/com/github/nkzawa/socketio/client/Socket.java
FIELD	com.github.nkzawa.socketio.client.Socket	null	EVENT_DISCONNECT	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8/src/com/github/nkzawa/socketio/client/Socket.java
FIELD	com.github.nkzawa.socketio.client.Socket	null	EVENT_ERROR	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8/src/com/github/nkzawa/socketio/client/Socket.java
FIELD	com.github.nkzawa.socketio.client.Socket	null	EVENT_MESSAGE	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8/src/com/github/nkzawa/socketio/client/Socket.java
FIELD	com.github.nkzawa.socketio.client.Socket	null	EVENT_CONNECT_ERROR	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8/src/com/github/nkzawa/socketio/client/Socket.java
FIELD	com.github.nkzawa.socketio.client.Socket	null	EVENT_CONNECT_TIMEOUT	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8/src/com/github/nkzawa/socketio/client/Socket.java
FIELD	com.github.nkzawa.socketio.client.Socket	null	EVENT_RECONNECT	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8/src/com/github/nkzawa/socketio/client/Socket.java
FIELD	com.github.nkzawa.socketio.client.Socket	null	EVENT_RECONNECT_ERROR	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8/src/com/github/nkzawa/socketio/client/Socket.java
FIELD	com.github.nkzawa.socketio.client.Socket	null	EVENT_RECONNECT_FAILED	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8/src/com/github/nkzawa/socketio/client/Socket.java
FIELD	com.github.nkzawa.socketio.client.Socket	null	EVENT_RECONNECT_ATTEMPT	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8/src/com/github/nkzawa/socketio/client/Socket.java
FIELD	com.github.nkzawa.socketio.client.Socket	null	EVENT_RECONNECTING	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8/src/com/github/nkzawa/socketio/client/Socket.java
FIELD	com.github.nkzawa.socketio.client.Socket	null	events	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8/src/com/github/nkzawa/socketio/client/Socket.java
FIELD	com.github.nkzawa.socketio.client.Socket	null	connected	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8/src/com/github/nkzawa/socketio/client/Socket.java
FIELD	com.github.nkzawa.socketio.client.Socket	null	disconnected	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8/src/com/github/nkzawa/socketio/client/Socket.java
