kind	class	method	param	index	uri
PARAMETER	ru.spbau.tinydb.grammar.SQLGrammarLexer	WHITE_SPACE_action(org.antlr.v4.runtime.RuleContext,int)	_localctx	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3472127e1f_SergeyKrivohatskiy_tiny_database_tgz-pJ8-ru_spbau_tinydb_bufferManager_IndexTestJ8/src/ru/spbau/tinydb/grammar/SQLGrammarLexer.java
PARAMETER	ru.spbau.tinydb.expressions.Expression	execute(java.util.Map)	values	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3472127e1f_SergeyKrivohatskiy_tiny_database_tgz-pJ8-ru_spbau_tinydb_bufferManager_IndexTestJ8/src/ru/spbau/tinydb/expressions/Expression.java
PARAMETER	ru.spbau.tinydb.expressions.bool.OrExpression	OrExpression(ru.spbau.tinydb.expressions.bool.AndExpression,ru.spbau.tinydb.expressions.bool.AndExpression)	second	1	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3472127e1f_SergeyKrivohatskiy_tiny_database_tgz-pJ8-ru_spbau_tinydb_bufferManager_IndexTestJ8/src/ru/spbau/tinydb/expressions/bool/OrExpression.java
FIELD	ru.spbau.tinydb.expressions.bool.BinaryBooleanExpression	null	second	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3472127e1f_SergeyKrivohatskiy_tiny_database_tgz-pJ8-ru_spbau_tinydb_bufferManager_IndexTestJ8/src/ru/spbau/tinydb/expressions/bool/BinaryBooleanExpression.java
PARAMETER	ru.spbau.tinydb.expressions.bool.BinaryBooleanExpression	BinaryBooleanExpression(V,V)	second	1	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3472127e1f_SergeyKrivohatskiy_tiny_database_tgz-pJ8-ru_spbau_tinydb_bufferManager_IndexTestJ8/src/ru/spbau/tinydb/expressions/bool/BinaryBooleanExpression.java
METHOD	ru.spbau.tinydb.expressions.bool.BinaryBooleanExpression	getSecond()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3472127e1f_SergeyKrivohatskiy_tiny_database_tgz-pJ8-ru_spbau_tinydb_bufferManager_IndexTestJ8/src/ru/spbau/tinydb/expressions/bool/BinaryBooleanExpression.java
PARAMETER	ru.spbau.tinydb.expressions.bool.BinaryBooleanExpression	executeBinaryOperation(java.lang.Boolean,java.lang.Boolean)	first	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3472127e1f_SergeyKrivohatskiy_tiny_database_tgz-pJ8-ru_spbau_tinydb_bufferManager_IndexTestJ8/src/ru/spbau/tinydb/expressions/bool/BinaryBooleanExpression.java
PARAMETER	ru.spbau.tinydb.expressions.bool.BinaryBooleanExpression	executeBinaryOperation(java.lang.Boolean,java.lang.Boolean)	second	1	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3472127e1f_SergeyKrivohatskiy_tiny_database_tgz-pJ8-ru_spbau_tinydb_bufferManager_IndexTestJ8/src/ru/spbau/tinydb/expressions/bool/BinaryBooleanExpression.java
PARAMETER	ru.spbau.tinydb.engine.IDataBase	insert(java.lang.String,java.util.List,java.util.List)	tableName	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3472127e1f_SergeyKrivohatskiy_tiny_database_tgz-pJ8-ru_spbau_tinydb_bufferManager_IndexTestJ8/src/ru/spbau/tinydb/engine/IDataBase.java
PARAMETER	ru.spbau.tinydb.engine.IDataBase	insert(java.lang.String,java.util.List,java.util.List)	attributes	1	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/url3472127e1f_SergeyKrivohatskiy_tiny_database_tgz-pJ8-ru_spbau_tinydb_bufferManager_IndexTestJ8/src/ru/spbau/tinydb/engine/IDataBase.java
