kind	class	method	param	index	uri
METHOD	fw.Matcher	evaluate(T)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url49fd521e8b_Kineolyan_JSpec_tgz-pJ8-fw_MainJ8/src/fw/Matcher.java
METHOD	fw.Matcher	printSuccess(T)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url49fd521e8b_Kineolyan_JSpec_tgz-pJ8-fw_MainJ8/src/fw/Matcher.java
METHOD	fw.Matcher	printNegationSuccess(T)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url49fd521e8b_Kineolyan_JSpec_tgz-pJ8-fw_MainJ8/src/fw/Matcher.java
METHOD	fw.Matcher	raiseFailure(T)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url49fd521e8b_Kineolyan_JSpec_tgz-pJ8-fw_MainJ8/src/fw/Matcher.java
METHOD	fw.Matcher	raiseNegationFailure(T)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url49fd521e8b_Kineolyan_JSpec_tgz-pJ8-fw_MainJ8/src/fw/Matcher.java
FIELD	fw.SyntaxicTestCase	null	BE_TRUE	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url49fd521e8b_Kineolyan_JSpec_tgz-pJ8-fw_MainJ8/src/fw/SyntaxicTestCase.java
FIELD	fw.SyntaxicTestCase	null	BE_FALSE	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url49fd521e8b_Kineolyan_JSpec_tgz-pJ8-fw_MainJ8/src/fw/SyntaxicTestCase.java
FIELD	fw.SyntaxicTestCase	null	BE_NULL	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url49fd521e8b_Kineolyan_JSpec_tgz-pJ8-fw_MainJ8/src/fw/SyntaxicTestCase.java
PARAMETER	fw.SyntaxicTestCase	should(V,fw.Matcher)	matcher	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url49fd521e8b_Kineolyan_JSpec_tgz-pJ8-fw_MainJ8/src/fw/SyntaxicTestCase.java
METHOD	fw.SyntaxicTestCase	should(V,fw.Matcher)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url49fd521e8b_Kineolyan_JSpec_tgz-pJ8-fw_MainJ8/src/fw/SyntaxicTestCase.java
PARAMETER	fw.SyntaxicTestCase	shouldNot(V,fw.Matcher)	matcher	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url49fd521e8b_Kineolyan_JSpec_tgz-pJ8-fw_MainJ8/src/fw/SyntaxicTestCase.java
METHOD	fw.SyntaxicTestCase	shouldNot(V,fw.Matcher)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url49fd521e8b_Kineolyan_JSpec_tgz-pJ8-fw_MainJ8/src/fw/SyntaxicTestCase.java
METHOD	fw.SyntaxicTestCase	should(byte,fw.Matcher)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url49fd521e8b_Kineolyan_JSpec_tgz-pJ8-fw_MainJ8/src/fw/SyntaxicTestCase.java
PARAMETER	fw.SyntaxicTestCase	should(boolean,fw.Matcher)	value	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url49fd521e8b_Kineolyan_JSpec_tgz-pJ8-fw_MainJ8/src/fw/SyntaxicTestCase.java
