kind	class	method	param	index	uri
PARAMETER	ch2.statemachine.State	enter(T)	obj	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcc19a18863_born2snipe_Programming_Game_AI_tgz-pJ8-ch2_msg_MiningTestJ8/src/ch2/statemachine/State.java
PARAMETER	ch2.statemachine.State	execute(T)	obj	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcc19a18863_born2snipe_Programming_Game_AI_tgz-pJ8-ch2_msg_MiningTestJ8/src/ch2/statemachine/State.java
PARAMETER	ch2.statemachine.State	exit(T)	obj	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcc19a18863_born2snipe_Programming_Game_AI_tgz-pJ8-ch2_msg_MiningTestJ8/src/ch2/statemachine/State.java
FIELD	ch2.statemachine.StateMachine	null	current	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcc19a18863_born2snipe_Programming_Game_AI_tgz-pJ8-ch2_msg_MiningTestJ8/src/ch2/statemachine/StateMachine.java
FIELD	ch2.statemachine.StateMachine	null	global	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcc19a18863_born2snipe_Programming_Game_AI_tgz-pJ8-ch2_msg_MiningTestJ8/src/ch2/statemachine/StateMachine.java
PARAMETER	ch2.troll.State	execute(ch2.troll.Troll)	obj	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcc19a18863_born2snipe_Programming_Game_AI_tgz-pJ8-ch2_msg_MiningTestJ8/src/ch2/troll/State.java
PARAMETER	ch2.msg.QuenchThirst	onMessage(ch2.msg.Miner,ch2.msg.Telegram)	obj	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcc19a18863_born2snipe_Programming_Game_AI_tgz-pJ8-ch2_msg_MiningTestJ8/src/ch2/msg/QuenchThirst.java
PARAMETER	ch2.msg.QuenchThirst	onMessage(ch2.msg.Miner,ch2.msg.Telegram)	telegram	1	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcc19a18863_born2snipe_Programming_Game_AI_tgz-pJ8-ch2_msg_MiningTestJ8/src/ch2/msg/QuenchThirst.java
PARAMETER	ch2.msg.State	enter(T)	obj	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcc19a18863_born2snipe_Programming_Game_AI_tgz-pJ8-ch2_msg_MiningTestJ8/src/ch2/msg/State.java
PARAMETER	ch2.msg.State	execute(T)	obj	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcc19a18863_born2snipe_Programming_Game_AI_tgz-pJ8-ch2_msg_MiningTestJ8/src/ch2/msg/State.java
PARAMETER	ch2.msg.State	exit(T)	obj	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcc19a18863_born2snipe_Programming_Game_AI_tgz-pJ8-ch2_msg_MiningTestJ8/src/ch2/msg/State.java
PARAMETER	ch2.msg.State	onMessage(T,ch2.msg.Telegram)	obj	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcc19a18863_born2snipe_Programming_Game_AI_tgz-pJ8-ch2_msg_MiningTestJ8/src/ch2/msg/State.java
PARAMETER	ch2.msg.State	onMessage(T,ch2.msg.Telegram)	telegram	1	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcc19a18863_born2snipe_Programming_Game_AI_tgz-pJ8-ch2_msg_MiningTestJ8/src/ch2/msg/State.java
FIELD	ch2.msg.StateMachine	null	current	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcc19a18863_born2snipe_Programming_Game_AI_tgz-pJ8-ch2_msg_MiningTestJ8/src/ch2/msg/StateMachine.java
FIELD	ch2.msg.StateMachine	null	global	null	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcc19a18863_born2snipe_Programming_Game_AI_tgz-pJ8-ch2_msg_MiningTestJ8/src/ch2/msg/StateMachine.java
PARAMETER	ch2.msg.VisitBankAndDepositGold	onMessage(ch2.msg.Miner,ch2.msg.Telegram)	obj	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcc19a18863_born2snipe_Programming_Game_AI_tgz-pJ8-ch2_msg_MiningTestJ8/src/ch2/msg/VisitBankAndDepositGold.java
PARAMETER	ch2.msg.VisitBankAndDepositGold	onMessage(ch2.msg.Miner,ch2.msg.Telegram)	telegram	1	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcc19a18863_born2snipe_Programming_Game_AI_tgz-pJ8-ch2_msg_MiningTestJ8/src/ch2/msg/VisitBankAndDepositGold.java
PARAMETER	ch2.msg.VisitBathroom	onMessage(ch2.msg.MinersWife,ch2.msg.Telegram)	obj	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcc19a18863_born2snipe_Programming_Game_AI_tgz-pJ8-ch2_msg_MiningTestJ8/src/ch2/msg/VisitBathroom.java
PARAMETER	ch2.msg.VisitBathroom	onMessage(ch2.msg.MinersWife,ch2.msg.Telegram)	telegram	1	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcc19a18863_born2snipe_Programming_Game_AI_tgz-pJ8-ch2_msg_MiningTestJ8/src/ch2/msg/VisitBathroom.java
PARAMETER	ch2.msg.EatStew	enter(ch2.msg.Miner)	obj	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcc19a18863_born2snipe_Programming_Game_AI_tgz-pJ8-ch2_msg_MiningTestJ8/src/ch2/msg/EatStew.java
PARAMETER	ch2.msg.EatStew	execute(ch2.msg.Miner)	obj	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcc19a18863_born2snipe_Programming_Game_AI_tgz-pJ8-ch2_msg_MiningTestJ8/src/ch2/msg/EatStew.java
PARAMETER	ch2.msg.EatStew	exit(ch2.msg.Miner)	obj	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcc19a18863_born2snipe_Programming_Game_AI_tgz-pJ8-ch2_msg_MiningTestJ8/src/ch2/msg/EatStew.java
PARAMETER	ch2.msg.EatStew	onMessage(ch2.msg.Miner,ch2.msg.Telegram)	obj	0	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcc19a18863_born2snipe_Programming_Game_AI_tgz-pJ8-ch2_msg_MiningTestJ8/src/ch2/msg/EatStew.java
PARAMETER	ch2.msg.EatStew	onMessage(ch2.msg.Miner,ch2.msg.Telegram)	telegram	1	/home/nima/Developer/NJR-ANNOTATED-RUN/nullgtn/urlcc19a18863_born2snipe_Programming_Game_AI_tgz-pJ8-ch2_msg_MiningTestJ8/src/ch2/msg/EatStew.java
